Código,Producto,Descripción,Categoría,Precio Venta,Stock Actual,Stock Mínimo,Vencimiento,Ubicación
1001,Paracetamol 500mg,Analgésico genérico,Venta Libre,2.50,150,50,2026-12-01,Estante A1
1002,Paracetamol Jarabe,Infantil 120mg/5ml,Pediatría,8.75,15,20,2026-05-15,Nevera 1
2001,Loratadina 10mg,Antihistamínico,Alergias,5.20,200,40,2027-01-20,Estante B2
3005,Amoxicilina 850mg,Antibiótico cápsulas,Recetados,12.00,45,15,2026-01-14,Estante C3
3006,Amoxicilina + Ácido C.,Antibiótico reforzado,Recetados,22.50,8,10,2026-03-10,Estante C3
4001,Alcohol Etílico 70%,Desinfectante 500ml,Primeros Auxilios,3.15,60,20,2028-10-12,Depósito
5002,Ibuprofeno 600mg,Antiinflamatorio,Venta Libre,4.90,120,30,2026-11-30,Estante A2
6001,Vitamina C 1000mg,Suplemento efervescente,Vitaminas,15.30,25,10,2025-12-30,Mostrador
7001,Aspirina 100mg,Protector de corazón,Venta Libre,3.50,300,50,2027-06-15,Estante A1
8002,Omeprazol 20mg,Protector gástrico,Digestivo,10.20,55,20,2026-08-22,Estante B1